product_id,product_name,category_id,category_name,price
200,Support,8,Sport,150.92
201,Protect,5,Policy,16.03
202,Within,3,Catch,77.99
203,Reason,5,Style,258.56
204,Discussion,3,Main,282.33
205,Range,2,Learn,371.45
206,Lay,6,Billion,232.63
207,Ten,9,Could,226.84
208,Light,7,Couple,58.52
209,Data,4,Place,229.39
210,On,2,Information,250.22
211,Network,1,Us,497.3
212,Rather,3,Type,122.61
213,Scene,5,Whom,236.5
214,Window,9,Professor,256.51
215,Relationship,1,Recent,259.52
216,Similar,4,Somebody,319.66
217,Character,2,Paper,296.33
218,Article,5,Bring,41.3
219,For,8,Century,274.17
220,Return,6,Help,295.4
221,Add,4,Success,384.36
222,Great,6,Receive,71.39
223,Around,8,Then,160.64
224,Rich,2,Management,137.68
225,Drive,6,Song,274.08
226,Too,4,Take,143.47
227,Support,9,Number,87.61
228,Beautiful,6,Quickly,433.29
229,Well,3,However,28.57
230,Movement,5,Green,285.28
231,A,1,Figure,455.11
232,Approach,5,Attack,341.8
233,Enough,8,Board,229.04
234,Process,6,Reality,223.22
235,Ever,8,Party,484.44
236,Series,5,Oil,75.36
237,Good,1,Plant,465.01
238,Find,7,Might,34.13
239,Couple,1,Course,399.79
240,Small,6,Commercial,150.51
241,Night,7,High,195.67
242,Attorney,6,Feeling,433.85
243,Sort,9,Travel,36.3
244,Range,7,Itself,172.75
245,Public,6,Could,489.02
246,Important,2,Hand,490.75
247,Marriage,7,Doctor,278.79
248,Lay,1,Window,94.53
249,However,8,Quite,78.69
250,Reason,8,Catch,54.46
251,New,1,Later,60.95
252,Forget,5,Position,66.64
253,Similar,1,Throughout,422.52
254,Choose,4,Cut,271.83
255,Great,1,Name,334.16
256,Who,3,Democratic,240.3
257,Subject,6,Wife,422.16
258,Defense,9,Series,282.6
259,Suddenly,7,Woman,210.46
260,Size,5,Start,76.91
261,Bank,4,Worker,339.65
262,Remember,4,Town,168.02
263,Traditional,4,Raise,488.98
264,Than,4,Yard,228.69
265,Few,2,Hand,220.79
266,Capital,9,Indicate,201.66
267,It,1,Other,366.33
268,Civil,5,Model,464.82
269,Everyone,5,Attention,153.32
270,Officer,5,Base,307.1
271,Be,3,Win,402.33
272,Summer,4,Strategy,474.8
273,It,3,Over,361.73
274,Mother,1,Address,408.41
275,Music,5,Officer,387.63
276,Officer,9,Safe,494.68
277,Mean,3,Low,167.5
278,Best,2,Heavy,24.28
279,Lot,5,Hot,175.63
280,Around,9,Mission,269.42
281,Rather,1,Anyone,53.17
282,Writer,6,Professional,272.49
283,Investment,6,Arrive,387.67
284,Recognize,1,Stop,264.14
285,World,8,Old,323.13
286,Plant,7,Standard,189.58
287,Space,2,Realize,408.29
288,Wear,7,Character,190.88
289,Defense,2,One,183.11
290,Then,2,Trip,50.16
291,Step,9,Conference,408.91
292,That,9,Reflect,35.45
293,Standard,2,Tax,168.96
294,Identify,6,Finally,299.14
295,Cup,4,Relationship,445.52
296,Free,1,Writer,171.26
297,Rather,5,Customer,267.57
298,Page,1,Sound,366.06
299,Indicate,3,Generation,209.65
