product_id,product_name,category_id,category_name,price
200,Entire,9,Sure,363.77
201,Test,1,National,230.62
202,Although,3,Camera,403.98
203,Line,1,Guess,280.41
204,Full,5,Wait,346.65
205,Sing,2,But,346.45
206,Administration,8,Table,103.95
207,Only,8,Thousand,273.66
208,Report,8,We,281.65
209,Theory,1,Check,422.75
210,Sort,6,List,352.39
211,Wrong,4,Beat,411.28
212,Expert,3,Team,383.86
213,Wife,6,Play,319.85
214,Health,6,Property,89.55
215,Own,7,Event,269.81
216,Way,8,Ok,379.48
217,Movie,4,Activity,338.72
218,Also,6,Discuss,344.88
219,Order,3,Something,431.18
220,Hard,3,Toward,38.03
221,Purpose,2,Case,139.57
222,Through,9,Trip,130.07
223,Decide,5,Within,77.14
224,Often,4,Never,193.87
225,Become,2,Outside,189.74
226,Answer,9,Former,322.77
227,Someone,9,Material,377.9
228,Character,2,Science,385.96
229,Technology,3,Their,368.78
230,Statement,1,Enjoy,437.94
231,Success,9,Share,310.77
232,Own,3,Happen,358.78
233,Institution,9,Two,280.73
234,Spring,2,Group,74.95
235,Take,8,Myself,24.87
236,Lead,2,Stage,286.16
237,Direction,4,Significant,423.0
238,Money,7,Team,482.55
239,Old,4,Attack,175.09
240,Down,8,Rich,404.44
241,Soldier,5,Stop,474.72
242,Local,3,Before,470.02
243,Article,5,Why,160.78
244,Kind,4,Hope,145.16
245,After,8,Sound,237.38
246,Read,4,Agreement,169.23
247,White,6,Door,145.27
248,Oil,1,Stock,476.06
249,Site,4,Operation,80.06
250,Seat,3,Whose,129.28
251,Four,7,Something,490.95
252,Instead,4,Administration,248.58
253,One,1,Consumer,360.43
254,Section,6,Inside,363.37
255,Exist,9,Significant,462.52
256,Should,7,Everybody,318.56
257,Own,1,Establish,263.73
258,Price,4,Turn,366.7
259,Camera,3,Member,298.11
260,Discuss,5,Outside,90.08
261,He,2,Cause,308.1
262,Ok,9,Next,474.4
263,Arrive,1,Matter,233.5
264,Care,6,Large,139.97
265,Significant,4,Head,389.06
266,Suddenly,5,Couple,379.23
267,Mean,5,Compare,182.82
268,Guess,3,Happen,496.71
269,Parent,4,Cup,298.22
270,Minute,7,Total,214.05
271,Call,6,Car,41.19
272,Interview,9,Eight,212.8
273,Environment,9,Spend,226.21
274,Early,9,Security,160.26
275,Community,1,Phone,79.38
276,Short,5,Hold,64.84
277,Look,7,Half,349.6
278,Once,3,Wish,184.51
279,Field,7,Analysis,415.18
280,Argue,4,Address,66.65
281,Color,8,Usually,346.03
282,Couple,6,Find,433.14
283,Board,6,Oil,115.62
284,Goal,2,Country,80.16
285,Store,1,Respond,204.57
286,One,5,Western,275.82
287,Theory,6,Tax,150.53
288,Forward,3,Watch,426.11
289,Chair,6,They,112.83
290,Risk,7,Heavy,433.83
291,Try,3,Test,116.15
292,Close,6,Central,315.0
293,Note,8,Morning,387.63
294,Guy,7,Kid,418.76
295,Respond,8,Week,174.03
296,Guy,6,Room,299.99
297,Market,4,Half,339.95
298,Assume,4,Law,240.16
299,Alone,6,His,436.14
